rank,city,state,population,latitude,longitude
1,New York,NY,7322564,40.7127281,-74.0060152
2,Los Angeles,CA,3485499,34.0536909,-118.242766
3,Chicago,IL,2783660,41.8755616,-87.6244212
4,Houston,TX,1697873,29.7589382,-95.3676974
5,Philadelphia,PA,1585577,39.9527237,-75.1635262
6,San Diego,CA,1111031,32.7174202,-117.1627728
7,Detroit,MI,1027946,42.3315509,-83.0466403
8,Dallas,TX,1006646,32.7762719,-96.7968559
9,San Antonio,TX,997434,29.4246002,-98.4951405
10,Phoenix,AZ,988983,33.4484367,-112.0741417
11,San Jose,CA,783324,37.3361905,-121.890583
12,Baltimore,MD,736014,39.2908816,-76.610759
13,Indianapolis,IN,731726,39.7683331,-86.1583502
14,San Francisco,CA,723959,37.7790262,-122.419906
15,Columbus,OH,636323,39.9622601,-83.0007065
16,Jacksonville,FL,635042,30.3321838,-81.655651
17,Milwaukee,WI,628300,43.0349931,-87.922497
18,Memphis,TN,618894,35.1335022,-89.9668758
19,Washington,DC,606900,38.8950368,-77.0365427
20,Boston,MA,574289,42.3602534,-71.0582912
21,Seattle,WA,516332,47.6038321,-122.3300624
22,El Paso,TX,515652,31.7754152,-106.464634
23,Cleveland,OH,505450,41.4996562,-81.6936813
24,New Orleans,LA,496938,29.9759983,-90.0782127
25,Austin,TX,494290,30.2711286,-97.7436995
26,Nashville,TN,488188,36.1622767,-86.7742984
27,Portland,OR,486083,45.5202471,-122.6741949
28,Denver,CO,467549,39.7392364,-104.9848623
29,Fort Worth,TX,448181,32.753177,-97.3327459
30,Oklahoma City,OK,444605,35.4729886,-97.5170536
31,Kansas City,MO,435121,39.100105,-94.5781416
32,Long Beach,CA,429870,33.7690164,-118.191604
33,Charlotte,NC,426984,35.2272086,-80.8430827
34,Tucson,AZ,417139,32.2228765,-110.9748477
35,Oakland,CA,399886,37.8044557,-122.2713563
36,St. Louis,MO,396685,38.6264256,-90.1995853
37,Sacramento,CA,395100,38.5810606,-121.493895
38,Atlanta,GA,393760,33.7489924,-84.3902644
39,Virginia Beach,VA,393089,36.8529841,-75.9774183
40,Albuquerque,NM,386988,35.21287095,-106.7132485
41,Honolulu,HI,376937,21.304547,-157.855676
42,Pittsburgh,PA,370139,40.4416941,-79.9900861
43,Minneapolis,MN,368284,44.9772995,-93.2654692
44,Tulsa,OK,367167,36.1556805,-95.9929113
45,Cincinnati,OH,364553,39.1014537,-84.5124602
46,Miami,FL,359790,25.7741728,-80.19362
47,Omaha,NE,357807,41.2587459,-95.9383758
